DATAFLOW;FREQ;TIME_PERIOD;REF_AREA;INDICATOR;ACTIVITY;NUMBER_EMPL;PRODUCT;TURNOVER;CLIENT_RESIDENCE;OBS_VALUE;UNIT_MEASURE;UNIT_MULT;DECIMALS;OBS_STATUS;OBS_STATUS_1;CONF_STATUS;CONF_STATUS_1;DOMINANCE;SHARE_SECOND;COMMENT_OBS
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B05;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B051;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B052;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B06;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B061;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B062;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B07;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B071;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B072;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B08;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;B081;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
